Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
174534219608675,Raghav Thakur,Manoj Kumar,≤100,1
110570145044943,Sanjay Gupta,Enlarge Media Pvt Ltd,≤100,1
464064544386914,Social Expert,Pranav Kumar,≤100,1
176666610656782,Vaishali tomar,Vaishali tomar,≤100,1
168926709808825,Rahul Bondre,Arpit Jain,≤100,1
104402731637523,Ganesh Dutt Shundal,These ads ran without a disclaimer,≤100,1
110299154963943,amitsinghlegal,These ads ran without a disclaimer,≤100,1
243905136121906,Dr. Jury Sharma Bordoloi,Utpal Phukan,≤100,1
391737747598762,Raja Pathak - B.J.P,Akash Singh,≤100,1
108896604910535,MH25 News,Laxman Pandurang Mandole,≤100,1
100135241704506,Samrakshya Ayurveda,Mahesh Kumar M,≤100,1
105095162405875,कोमल महावर वैर विधानसभा,Komal Mahawar,≤100,2
100833432911217,Sîddïqüé  Álî,These ads ran without a disclaimer,≤100,1
293620481336463,Hindavi Graphics,Hindavi Graphics,≤100,1
106441744430833,QuidelOrtho India,These ads ran without a disclaimer,≤100,1
1727859277354436,Bhuwan Vikram भुवन विक्रम,Bhuwan Vikram Singh,≤100,1
1336863726383886,Gopal Lal Sharma,Ganesh Thapa,≤100,1
108178228704799,Earthable India,These ads ran without a disclaimer,≤100,1
1533443276953367,Dr. Bharat Boghara,Vasoya Ashish Mansukhbhai,≤100,1
104789674877474,Office Of Prajakt Tanpure,Sharad Raybhan Tanpure,≤100,4
485973368124928,RV Devraj,RV Devraj,≤100,1
2205851146366418,Jagdish Prajapati journalist sadulpur Churu Rajasthan,These ads ran without a disclaimer,≤100,1
104677265768767,The Voice Of Jaipur,Vinod Kumar Swami,≤100,1
111419338439620,Congress Mukt BTM,Congress Mukt BTM,≤100,1
114101844928846,call_me7099212439,These ads ran without a disclaimer,≤100,1
116029359800919,Biju Yuva Janata Dal,Soyong Kanta Samantaray,≤100,1
104860424918954,दिल है हिन्दुस्तानी,Abhijit Kumar,≤100,1
106515095633608,Aniket Nillawar,Sushil Tejrao Gaikwad,≤100,1
101651611781585,Kanwalpreet Singh Kaki,Sumit Ahuja,≤100,1
572608223125372,Vikas Rana,Shankar Prasad Thakur,≤100,1
689591581145844,G B JyothiGanesh MLA,G B JyothiGanesh MLA,≤100,1
271711770069401,सुरेश धाकड़ राठखेड़ा,Gajendra Verma,≤100,1
115336054819491,nitin.omer,These ads ran without a disclaimer,≤100,1
1592265114364332,JP Yadav,Pramender Kumar,≤100,1
1014089075388866,Arvind Pandey,Pradeep Anand,≤100,1
102766972054067,Pradeep Yadav,These ads ran without a disclaimer,≤100,1
105079455811982,gsmishraiasfans,These ads ran without a disclaimer,≤100,1
156305911727294,Ravinder Singh Negi,These ads ran without a disclaimer,≤100,1
117426084569698,Unfiltered Jammu Kashmir,Unfiltered Jammu Kashmir,≤100,2
519296628180189,K. Manik Rao,Mithun Raj Koninty,≤100,2
626040200837891,Ashwini Paranjpe,Trivikram Kashinath Paranjpe,≤100,1
105625102152895,Sickle Cell & Thalassemia Control Program-Odisha,Soyong Kanta Samantaray,≤100,1
395910177835208,Vijay Kumar Singh Congress,Rahul Shrivastwa,≤100,1
106094071444155,Jayant Baghel,These ads ran without a disclaimer,≤100,1
441458716410790,Svamaan Financial Services Pvt Ltd,These ads ran without a disclaimer,≤100,1
107501421446303,Ramalingappa,Ramalingappa Ramalingappa,≤100,1
113954529962467,Gali Bhanu Prakash,These ads ran without a disclaimer,≤100,1
103050296061070,Viraj Patel,Viraj Pankajbhai Nonghanavadara,≤100,1
